region_id,state,district
655,Gujarat,Botad
656,Gujarat,Chhotaudepur
657,Gujarat,Gir Somnath
658,Gujarat,Mahisagar
659,Gujarat,Devbhumi Dwarka
660,Gujarat,Morbi
661,Haryana,Charki Dadri
662,Madhya Pradesh,Agar Malwa
663,Meghalaya,North Garo Hills
664,Meghalaya,South West Garo Hills
665,Meghalaya,South West Khasi Hills
666,Meghalaya,West Jaintia Hills
667,Telangana,Adilabad
668,Telangana,Karimnagar
669,Telangana,Khammam
670,Telangana,Mahbubnagar
671,Telangana,Medak
672,Telangana,Nalgonda
673,Telangana,Nizamabad
674,Telangana,Rangareddi
675,Telangana,Warangal
676,West Bengal,Alipurduar
677,Arunachal Pradesh,Kamle
678,Arunachal Pradesh,Lower Siang
679,Maharashtra,Mumbai Suburban
680,Telangana,Bhadradri
681,Telangana,Jagitial
682,Telangana,Jangoan
683,Telangana,Jayashankar
684,Telangana,Jogulamba
685,Telangana,Kamareddy
686,Telangana,Komaram Bheem Asifabad
687,Telangana,Mahabubabad
688,Telangana,Mancherial
689,Telangana,Medchal
690,Telangana,Mulugu
691,Telangana,Nagarkurnool
692,Telangana,Narayanapet
693,Telangana,Nirmal
694,Telangana,Peddapalli
695,Telangana,Rajanna
696,Telangana,Sangareddy
697,Telangana,Siddipet
698,Telangana,Suryapet
699,Telangana,Vikarabad
700,Telangana,Wanaparthy
701,Telangana,Warangal Urban
702,Telangana,Yadadri
703,West Bengal,Jhargram
704,West Bengal,Paschim Bardhaman
705,West Bengal,Kalimpong
706,Arunachal Pradesh,Leparada
707,Arunachal Pradesh,Pakke Kessang
708,Arunachal Pradesh,Shi Yomi
709,Assam,Biswanath
710,Assam,Charaideo
711,Assam,Hojai
712,Assam,Majuli
713,Assam,South Salmara Mancachar
714,Assam,West Karbi Anglong
715,Chhattisgarh,Gaurella-Pendra-Marwahi
716,Karnataka,Bagalkote
717,Karnataka,Ballari
718,Karnataka,Belagavi
719,Karnataka,Chamarajanagara
720,Karnataka,Chikkaballapura
721,Karnataka,Chikkamagaluru
722,Karnataka,Dakshina Kannada
723,Karnataka,Mysuru
724,Karnataka,Shivamogga
725,Karnataka,Tumakuru
726,Karnataka,Uttara Kannada
727,Karnataka,Vijayapura
728,Karnataka,Kalaburagi
729,Karnataka,Yadagiri
730,Laddakh,Kargil
731,Madhya Pradesh,Niwari
732,Punjab,Shahid Bhagat Singh Nagar
733,Tamil Nadu,Tuticorin
734,Tamil Nadu,Chennai
735,Tamil Nadu,Kallakurichi
736,Tamil Nadu,Tenkasi
737,Tamil Nadu,Tirupathur
738,Tamil Nadu,Chengalpattu
739,Tamil Nadu,Ranipet
740,Telangana,Hanumakonda
741,Telangana,Medchal Malkajgiri
742,Telangana,Dadra And Nagar Haveli
743,Telangana,Diu
744,Telangana,Daman
745,Andhra Pradesh,Hyderabad
746,Bihar,Bokaro
747,Bihar,Chatra
748,Bihar,Deoghar
749,Bihar,Dhanbad
750,Bihar,Dumka
751,Bihar,East Singhbum
752,Bihar,Garhwa
753,Bihar,Giridih
754,Bihar,Godda
755,Bihar,Gumla
756,Bihar,Hazaribagh
757,Bihar,Koderma
758,Bihar,Lohardaga
759,Bihar,Pakur
760,Bihar,Palamu
761,Bihar,Ranchi
762,Bihar,Sahebganj
763,Bihar,West Singhbhum
764,Madhya Pradesh,Bastar
765,Madhya Pradesh,Bilaspur
766,Madhya Pradesh,Dantewada
767,Madhya Pradesh,Dhamtari
768,Madhya Pradesh,Durg
769,Madhya Pradesh,Janjgir-Champa
770,Madhya Pradesh,Jashpur
771,Madhya Pradesh,Kabirdham
772,Madhya Pradesh,Kanker
773,Madhya Pradesh,Korba
774,Madhya Pradesh,Korea
775,Madhya Pradesh,Mahasamund
776,Madhya Pradesh,Raipur
777,Madhya Pradesh,Rajnandgaon
778,Madhya Pradesh,Surguja
779,Maharashtra,Mumbai
780,Uttar Pradesh,Almora
781,Uttar Pradesh,Chamoli
782,Uttar Pradesh,Dehradun
783,Uttar Pradesh,Haridwar
784,Uttar Pradesh,Nainital
785,Uttar Pradesh,Pauri Garhwal
786,Uttar Pradesh,Pithoragarh
787,Uttar Pradesh,Tehri Garhwal
788,Uttar Pradesh,Udam Singh Nagar
789,Uttar Pradesh,Uttar Kashi
790,Uttar Pradesh,Bageshwar
791,Uttar Pradesh,Champawat
792,Uttar Pradesh,Rudra Prayag
